ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
BG,Bangladesh,16152,111252,Abdul,Abdul,44000,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,22.996444245679,89.836245920389
BG,Bangladesh,16182,111287,Aguri,Aguri,2600,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,25.867366725178,88.846610272225
BG,Bangladesh,19477,100142,Ahmadi,Ahmadi,3200,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.347617570298,90.550626727134
BG,Bangladesh,10327,100355,Anglo,Anglo,2100,3,N,ben,Bengali,5,1,Christianity,80.704,,21,A012,"South Asian Peoples",404,A012,"South Asia Christian",3,4,"Asia, South",ASI,Asia,Y,N,,N,23.78929,90.32922
BG,Bangladesh,16221,111334,Ansari,Ansari,16000,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",452,A012,"South Asia Muslim - Ansari",6,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.626835868644,89.630343530055
BG,Bangladesh,17559,112983,Arleng,Arleng,1600,1,Y,mjw,Karbi,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",475,A012,"South Asia Tribal - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,25.007573925665,92.215434315046
BG,Bangladesh,10454,100557,"Chin, Asho, Khyang","Asho Khyang",5500,2,N,csh,"Chin, Asho",5,2,Buddhism,38.291,,23,A014,"Tibetan-Himalayan Peoples",207,C0113,Kuki-Chin-Lushai,2,4,"Asia, South",ASI,Asia,Y,Y,,N,22.845352852815,92.342675609315
BG,Bangladesh,16257,111379,Asur,Asur,2000,1,Y,syl,Sylheti,4,5,Hinduism,1.226,,21,A012,"South Asian Peoples",475,A012,"South Asia Tribal - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,N,25.138029207035,91.43103081932
BG,Bangladesh,16333,111469,"Badhai (Muslim traditions)","Badhai (Muslim traditions)",3500,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",421,A012,"South Asia Hindu - Badhai",4,4,"Asia, South",ASI,Asia,Y,Y,1,Y,23.525901292838,90.059085999868
BG,Bangladesh,16281,111406,"Bagdi (Hindu traditions)","Bagdi (Hindu traditions)",86000,1,Y,ben,Bengali,5,5,Hinduism,0.308,,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",2,4,"Asia, South",ASI,Asia,Y,Y,2,N,23.243316512471,89.437771806786
BG,Bangladesh,10564,100760,Baha'i,Baha'i,11000,1,Y,ben,Bengali,5,8,"Other / Small",0.000,0.000,21,A012,"South Asian Peoples",468,A012,"South Asia - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.401974964029,90.555898422016
BG,Bangladesh,16288,111413,"Bahelia (Hindu traditions)","Bahelia (Hindu traditions)",3200,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.945809,90.363387
BG,Bangladesh,22339,112887,Baidya,Baidya,1100,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",1,4,"Asia, South",ASI,Asia,Y,Y,1,Y,22.35544,89.74316
BG,Bangladesh,16295,111421,"Baidya (Hindu traditions)","Baidya (Hindu traditions)",133000,1,Y,ben,Bengali,5,5,Hinduism,0.070,,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",2,4,"Asia, South",ASI,Asia,Y,Y,3,Y,22.691228455564,92.254212646907
BG,Bangladesh,16296,111422,Baiga,Baiga,5300,1,Y,syl,Sylheti,4,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",475,A012,"South Asia Tribal - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,25.078455286459,91.511756151499
BG,Bangladesh,16297,111424,"Bairagi (Hindu traditions)","Bairagi (Hindu traditions)",198000,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",4,4,"Asia, South",ASI,Asia,Y,Y,4,Y,25.757035696321,89.255234191776
BG,Bangladesh,16300,111427,Baiti,Baiti,6600,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.182401792662,90.928768414218
BG,Bangladesh,19688,115140,"Bania Agarwal","Bania Agarwal",2400,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",416,A012,"South Asia Forward Caste - Bania",4,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.077644524999,90.012010606013
BG,Bangladesh,19691,115143,"Bania Bais","Bania Bais",1300,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",416,A012,"South Asia Forward Caste - Bania",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.050097138002,90.435777871233
BG,Bangladesh,19698,115150,"Bania Gandha Banik","Bania Gandha Banik",4300,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",416,A012,"South Asia Forward Caste - Bania",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.416425,89.919144
BG,Bangladesh,19705,115157,"Bania Khatri","Bania Khatri",2700,1,Y,ben,Bengali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",416,A012,"South Asia Forward Caste - Bania",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,24.195392078039,89.409451481086
