ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN39,Uttarakhand,16152,Abdul,1,urd,Urdu,6,Islam,p16152.jpg,Y,140,,140,,,,
IN,India,IN39,Uttarakhand,16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,140,140,,,,,
IN,India,IN39,Uttarakhand,21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,20,20,,,,,
IN,India,IN39,Uttarakhand,16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,20,20,,,,,
IN,India,IN39,Uttarakhand,16174,"Agariya (Hindu traditions)",1,agi,Agariya,5,Hinduism,p16174.jpg,N,3840,3840,,,,,
IN,India,IN39,Uttarakhand,19163,"Ager (Hindu traditions)",1,kan,Kannada,5,Hinduism,,Y,120,120,,,,,
IN,India,IN39,Uttarakhand,16178,Aghori,1,hin,Hindi,5,Hinduism,p16178.jpg,Y,1170,1170,,,,,
IN,India,IN39,Uttarakhand,16180,Agri,1,mar,Marathi,5,Hinduism,p16180.jpg,Y,3290,3290,,,,,
IN,India,IN39,Uttarakhand,16184,Ahar,1,hin,Hindi,5,Hinduism,p16184.jpg,Y,650,650,,,,,
IN,India,IN39,Uttarakhand,19477,Ahmadi,1,urd,Urdu,6,Islam,p19477.jpg,Y,2040,,2040,,,,
IN,India,IN39,Uttarakhand,10327,Anglo,3,eng,English,1,Christianity,,N,2340,,,,2340,,
IN,India,IN39,Uttarakhand,16221,Ansari,1,urd,Urdu,6,Islam,p16221.jpg,Y,164810,,164810,,,,
IN,India,IN39,Uttarakhand,10375,Arab,1,acm,"Arabic, Mesopotamian",6,Islam,p10375.jpg,Y,10,,10,,,,
