Joshua Project People Group Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
CH,China,18385,113978,A Che,A Che,42000,1,Y,yif,Ache,3,4,Ethnic Religions,0,0,23,A014,Tibetan-Himalayan Peoples,317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,24.68311,101.97421
CH,China,18399,113993,A'ou,A'ou,2800,1,Y,cmn,"Chinese, Mandarin",5,4,Ethnic Religions,0,0,20,A011,Southeast Asian Peoples,295,C0207,Tai,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,26.94064488,106.0222373
MY,Malaysia,10120,100005,Abai Sungai,Abai Sungai,1600,1,Y,abf,Abai Sungai,0,6,Islam,0,0,17,A008,Malay Peoples,155,C0059,Borneo-Kalimantan,1,2,"Asia, Southeast",ASI,Asia,Y,Y,1,Y,5.68353,118.3747
RS,Russia,10125,100011,Abaza,Abaza,42000,1,Y,abq,Abaza,3,6,Islam,0.022,0.022,12,A003,Eurasian Peoples,157,C0061,Caucasus,3,9,"Europe, Eastern and Eurasia",ASI,Asia,N,Y,1,Y,44.22168,41.88952
EG,Egypt,10125,100011,Abaza,"Abaza, Arabized",16000,1,Y,arz,"Arabic, Egyptian",5,6,Islam,0.1,0,12,A003,Eurasian Peoples,157,C0061,Caucasus,3,6,"Africa, North and Middle East",AFR,Africa,Y,Y,1,Y,30.492752,31.567505
BG,Bangladesh,16152,111252,Abdul,Abdul,43000,1,Y,ben,Bengali,5,6,Islam,0,0,21,A012,South Asian Peoples,462,A012,South Asia Muslim - other,3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,22.99644425,89.83624592
IN,India,16152,111252,Abdul,Abdul,41000,1,Y,urd,Urdu,5,6,Islam,0,0,21,A012,South Asian Peoples,462,A012,South Asia Muslim - other,3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,25.05131172,84.22023723
NP,Nepal,16152,111252,Abdul,Abdul,1500,1,Y,urd,Urdu,5,6,Islam,0,0,21,A012,South Asian Peoples,462,A012,South Asia Muslim - other,3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,28.44244306,82.17540409
TU,Türkiye (Turkey),10130,100018,Abkhaz,Abkhaz,167000,1,Y,abk,Abkhaz,4,6,Islam,0,0,12,A003,Eurasian Peoples,157,C0061,Caucasus,6,5,"Asia, Central",ASI,Asia,Y,Y,3,Y,41.17898684,41.82068673
CD,Chad,10136,100027,Abu Sharib,Abu Sharib,93000,1,Y,mgb,Mararit,2,6,Islam,0.01,0.009,22,A013,Sub-Saharan Peoples,264,C0175,Ouaddai-Fur,1,8,"Africa, West and Central",AFR,Africa,Y,Y,2,Y,14.03813464,21.75803615
SU,Sudan,22457,119453,Abu-Junuk,Abu-Junuk,9800,1,Y,apd,"Arabic, Sudanese",4,6,Islam,0,0,22,A013,Sub-Saharan Peoples,248,C0156,Nuba Mountains,1,7,"Africa, East and Southern",AFR,Africa,Y,Y,1,Y,11.98,28.96
