Joshua Project People Group Data

ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
CH,China,18385,113978,"A Che","A Che",42000,1,Y,yif,Ache,3,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,24.68311,101.97421
CH,China,18399,113993,A'ou,A'ou,2800,1,Y,cmn,"Chinese, Mandarin",5,4,"Ethnic Religions",0.000,0.000,20,A011,"Southeast Asian Peoples",295,C0207,Tai,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,26.940644878159,106.02223729122
MY,Malaysia,10120,100005,"Abai Sungai","Abai Sungai",1600,1,Y,abf,"Abai Sungai",0,6,Islam,0.000,0.000,17,A008,"Malay Peoples",155,C0059,Borneo-Kalimantan,1,2,"Asia, Southeast",ASI,Asia,Y,Y,1,Y,5.68353,118.3747
RS,Russia,10125,100011,Abaza,Abaza,42000,1,Y,abq,Abaza,3,6,Islam,0.022,0.022,12,A003,"Eurasian Peoples",157,C0061,Caucasus,3,9,"Europe, Eastern and Eurasia",ASI,Asia,N,Y,1,Y,44.22168,41.88952
TU,"Türkiye (Turkey)",10125,100011,Abaza,Abaza,14000,1,Y,abq,Abaza,3,6,Islam,0.200,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,3,5,"Asia, Central",ASI,Asia,Y,N,1,N,41.12144,42.72732
EG,Egypt,10125,100011,Abaza,"Abaza, Arabized",16000,1,Y,arz,"Arabic, Egyptian",5,6,Islam,0.100,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,3,6,"Africa, North and Middle East",AFR,Africa,Y,Y,1,Y,30.492752,31.567505
BG,Bangladesh,16152,111252,Abdul,Abdul,43000,1,Y,ben,Bengali,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,22.996444245679,89.836245920389
IN,India,16152,111252,Abdul,Abdul,41000,1,Y,urd,Urdu,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,25.051311722751,84.220237229899
NP,Nepal,16152,111252,Abdul,Abdul,1500,1,Y,urd,Urdu,5,6,Islam,0.000,0.000,21,A012,"South Asian Peoples",462,A012,"South Asia Muslim - other",3,4,"Asia, South",ASI,Asia,Y,Y,1,Y,28.442443064845,82.17540409226
SY,Syria,10130,100018,Abkhaz,Abkhaz,6500,1,Y,abk,Abkhaz,4,6,Islam,4.000,1.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,6,6,"Africa, North and Middle East",ASI,Asia,Y,N,1,N,33.533734,36.333564
TU,"Türkiye (Turkey)",10130,100018,Abkhaz,Abkhaz,167000,1,Y,abk,Abkhaz,4,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,6,5,"Asia, Central",ASI,Asia,Y,Y,3,Y,41.178986841769,41.820686725712
CD,Chad,10136,100027,"Abu Sharib","Abu Sharib",93000,1,Y,mgb,Mararit,2,6,Islam,0.010,0.009,22,A013,"Sub-Saharan Peoples",264,C0175,Ouaddai-Fur,1,8,"Africa, West and Central",AFR,Africa,Y,Y,2,Y,14.038134644298,21.758036152746
SU,Sudan,22457,119453,Abu-Junuk,Abu-Junuk,9800,1,Y,apd,"Arabic, Sudanese",4,6,Islam,0.000,0.000,22,A013,"Sub-Saharan Peoples",248,C0156,"Nuba Mountains",1,7,"Africa, East and Southern",AFR,Africa,Y,Y,1,Y,11.98,28.96
ID,Indonesia,10144,100036,Acehnese,Acehnese,4024000,1,Y,ace,Aceh,5,6,Islam,0.120,0.005,17,A008,"Malay Peoples",101,C0002,"Aceh of Sumatra",2,2,"Asia, Southeast",ASI,Asia,Y,Y,80,N,3.64342,97.05471
MY,Malaysia,10144,100036,Acehnese,Acehnese,90000,1,Y,zlm,Malay,5,6,Islam,0.000,0.000,17,A008,"Malay Peoples",101,C0002,"Aceh of Sumatra",2,2,"Asia, Southeast",ASI,Asia,Y,N,2,Y,3.03442,101.600946
CH,China,18384,113977,"Achang, Husa","Achang, Husa",7500,1,Y,acn,Achang,5,4,"Ethnic Religions",2.000,2.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,24.40347417899,97.871655614315
IN,India,16158,111259,"Ad Dharmi","Ad Dharmi",1229000,1,Y,pan,"Punjabi, Eastern",5,5,Hinduism,0.337,,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",1,4,"Asia, South",ASI,Asia,Y,Y,25,N,31.827981384047,76.123235162635
BT,Bhutan,18386,113979,Adi,Adi,2800,1,Y,adi,Adi,5,9,Unknown,0.000,0.000,21,A012,"South Asian Peoples",103,C0004,Adi,3,4,"Asia, South",ASI,Asia,Y,N,1,Y,27.03247,90.188702
CH,China,18386,113979,Adi,Adi,1200,1,Y,adi,Adi,5,4,"Ethnic Religions",0.000,0.000,21,A012,"South Asian Peoples",103,C0004,Adi,3,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,28.482663132897,92.542649710016
IN,India,16162,111264,"Adi Andhra","Adi Andhra",363000,1,Y,tel,Telugu,5,5,Hinduism,0.862,,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",2,4,"Asia, South",ASI,Asia,Y,Y,7,N,17.358804901904,82.310876972451
CE,"Sri Lanka",16162,111264,"Adi Andhra","Adi Andhra",800,1,Y,tel,Telugu,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",2,4,"Asia, South",ASI,Asia,Y,Y,1,Y,7.0615802663406,81.044746866035
IN,India,16164,111266,"Adi Dravida","Adi Dravida",10144000,1,Y,tam,Tamil,5,5,Hinduism,0.095,,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",1,4,"Asia, South",ASI,Asia,Y,Y,203,Y,12.250878430078,79.616260500579
IN,India,16166,111268,"Adi Karnataka","Adi Karnataka",3509000,1,Y,kan,Kannada,5,5,Hinduism,0.513,,21,A012,"South Asian Peoples",412,A012,"South Asia Dalit - other",1,4,"Asia, South",ASI,Asia,Y,Y,70,N,12.649992691545,76.662102974047
CH,China,17939,113427,"Adi Ramo","Adi Ramo",200,1,Y,adi,Adi,5,2,Buddhism,0.000,0.000,21,A012,"South Asian Peoples",103,C0004,Adi,2,3,"Asia, Northeast",ASI,Asia,Y,N,1,Y,29.4,94.34
NP,Nepal,20054,115688,"Adibasi Janajati","Adibasi Janajati",1300,1,Y,npi,Nepali,5,5,Hinduism,0.000,0.000,21,A012,"South Asian Peoples",442,A012,"South Asia Hindu - other",1,4,"Asia, South",ASI,Asia,Y,Y,1,Y,28.925253212441,80.752818162618
IN,India,16171,111273,Adiyan,Adiyan,19000,1,Y,mal,Malayalam,5,5,Hinduism,0.773,,21,A012,"South Asian Peoples",475,A012,"South Asia Tribal - other",1,4,"Asia, South",ASI,Asia,Y,Y,1,N,12.10840611579,76.234503103473
CH,China,18387,113980,Adu,Adu,8200,1,Y,cmn,"Chinese, Mandarin",5,7,Non-Religious,0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,25.931359644143,106.28422769113
EG,Egypt,10161,100079,Adyghe,Adyghe,15000,1,Y,ady,Adyghe,4,6,Islam,0.100,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",AFR,Africa,Y,N,1,Y,30.015129,31.253906
GM,Germany,10161,100079,Adyghe,Adyghe,2100,1,Y,ady,Adyghe,4,6,Islam,0.070,0.050,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,10,"Europe, Western",EUR,Europe,N,N,1,Y,52.497842,13.428073
IZ,Iraq,10161,100079,Adyghe,Adyghe,45000,1,Y,ady,Adyghe,4,6,Islam,0.020,0.010,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",ASI,Asia,Y,N,1,Y,34.36674,45.01019
IS,Israel,10161,100079,Adyghe,Adyghe,4200,1,Y,ady,Adyghe,4,6,Islam,0.050,0.020,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",ASI,Asia,Y,N,1,Y,32.69226,35.49547
JO,Jordan,10161,100079,Adyghe,Adyghe,103000,1,Y,ady,Adyghe,4,6,Islam,0.020,0.020,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",ASI,Asia,Y,N,2,Y,32.30991,36.30381
RI,Serbia,10161,100079,Adyghe,Adyghe,2100,1,Y,ady,Adyghe,4,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,9,"Europe, Eastern and Eurasia",EUR,Europe,N,N,1,Y,44.791215,20.495112
SY,Syria,10161,100079,Adyghe,Adyghe,29000,1,Y,ady,Adyghe,4,6,Islam,0.400,0.100,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",ASI,Asia,Y,N,1,N,32.5365,36.50748
TU,"Türkiye (Turkey)",10161,100079,Adyghe,Adyghe,359000,1,Y,ady,Adyghe,4,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,5,"Asia, Central",ASI,Asia,Y,N,7,Y,38.666601000436,35.508126999961
US,"United States",10161,100079,Adyghe,Adyghe,9300,1,Y,ady,Adyghe,4,6,Islam,0.000,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,12,"America, North and Caribbean",NAR,"North America",N,N,1,Y,43.058449256928,-76.145707394381
WE,"West Bank / Gaza",10161,100079,Adyghe,Adyghe,1000,1,Y,ady,Adyghe,4,6,Islam,0.300,0.000,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,6,"Africa, North and Middle East",ASI,Asia,Y,N,1,N,31.533095,35.079923
RS,Russia,10161,100079,Adyghe,"Adyghe, West Circassian",111000,1,Y,ady,Adyghe,4,6,Islam,0.070,0.070,12,A003,"Eurasian Peoples",157,C0061,Caucasus,11,9,"Europe, Eastern and Eurasia",ASI,Asia,N,Y,2,Y,44.594718641352,40.113917355801
DJ,Djibouti,11486,102419,Afar,Afar,334000,1,Y,aar,Afar,5,6,Islam,0.030,0.008,13,A004,"Horn of Africa Peoples",104,C0005,Afar,3,7,"Africa, East and Southern",AFR,Africa,Y,Y,7,Y,11.80625,42.52214
